VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-N_8A1-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),3.1200000000000006
C1-N_8A1-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),2.16
C1-N_8A1-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),114.0
C1-N_8A1-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),12.920000000000002
C1-N_8A1-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),9.36
C1-N_8A1-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),82.0
C1-N_8A1-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),10.84
C1-N_8A1-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),44.56
C1-N_8A1-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),28.0
C1-N_8A1-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),2.0
C1-N_8B2-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.2
C1-N_8B2-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),35.0
C1-N_8B2-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),4.04
C1-N_8B2-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),2.84
C1-N_8B2-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),195.0
C1-N_8B2-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),17.08
C1-N_8B2-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),15.48
C1-N_8B2-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),54.0
