VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.12615384615384617
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),13.0
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),3.702291819647597
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),1.6400000000000001
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),3.3850486908028783
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.9075
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),80.0
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),239.70272895991334
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),72.6
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),4.2939507938683965
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),3.12
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.31875000000000003
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),32.0
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),38.07183178694644
C1-CCI_8D1-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),10.200000000000001
C1-CCI_8D1-0,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8D1-0,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8D1-0,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8D1-0,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
C1-CCI_8D1-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8D1-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),0.6841538615517183
